city,type,squareMeters,rooms,floor,floorCount,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price,building_age,nearset_poi_distance,poi_sum_distance,rooms_per_m2
szczecin,blockOfFlats,89.08,4.0,2.0,2.0,53.4772951,14.5412244,6.13,1.0,1.229,2.577,0.939,0.553,0.391,2.952,0.51,True,True,False,False,False,849000,6.0,0.391,6.199,0.0449034575662326
szczecin,tenement,57.0,2.0,2.0,4.0,53.4308373,14.5419351,1.51,75.0,0.261,0.582,0.132,0.166,0.043,0.19,0.075,False,False,True,False,False,449000,45.0,0.043,1.259,0.03508771929824561
szczecin,tenement,62.37,2.0,2.0,3.0,53.4312283,14.56394832,0.89,18.0,0.237,0.727,0.091,0.072,0.236,0.258,0.608,True,False,False,False,True,539000,94.0,0.072,1.971,0.0320666987333654
szczecin,unknown,79.5,4.0,1.0,1.0,53.397,14.6758,8.16,11.0,0.321,2.484,0.282,0.372,0.243,2.3851666666666667,0.279,False,False,False,False,False,450000,45.0,0.243,3.981,0.050314465408805034
szczecin,unknown,47.2,2.0,3.0,4.0,53.4535374,14.5532032,3.39,10.0,0.41,0.663,0.355,0.355,0.189,1.941,0.22,False,False,False,False,False,399000,45.0,0.189,2.192,0.0423728813559322
szczecin,unknown,90.0,3.0,3.0,4.0,53.432457,14.53656435,1.91,49.0,0.109,0.422,0.159,0.317,0.133,0.358,0.287,False,True,False,False,False,699000,94.0,0.109,1.427,0.03333333333333333
szczecin,blockOfFlats,53.0,3.0,3.0,4.0,53.456111,14.493056,5.78,12.0,0.394,1.766,0.21,0.152,0.676,2.931,0.224,False,True,False,False,True,479000,45.0,0.152,3.4220000000000006,0.05660377358490566
szczecin,blockOfFlats,57.0,4.0,2.0,3.0,53.453566,14.474175,6.66,4.0,0.487,2.461,0.696,0.848,0.07,3.951,0.069,False,False,False,False,False,610000,24.0,0.069,4.631,0.07017543859649122
szczecin,tenement,125.54,5.0,1.0,4.0,53.43226655,14.54053887,1.67,72.0,0.155,0.525,0.316,0.231,0.055,0.301,0.045,False,False,False,False,True,999000,88.0,0.045,1.327,0.03982794328500876
szczecin,tenement,38.7,2.0,1.0,4.0,53.4308373,14.5419351,1.51,75.0,0.261,0.582,0.132,0.166,0.043,0.19,0.075,False,True,False,False,False,460000,104.0,0.043,1.259,0.05167958656330749
szczecin,apartmentBuilding,45.34,2.0,2.0,27.0,53.4368668,14.5530096,1.59,35.0,0.194,0.237,0.181,0.165,0.099,0.781,0.231,False,False,True,False,False,750000,2.0,0.099,1.107,0.044111160123511246
